Housing type,Energy performance,Heating energy,Occupancy status,Income owner,Income tenant,Stock buildings
Single-family,F,Natural gas,Privately rented,D2,D6,153.9467307271687
Single-family,F,Natural gas,Privately rented,D3,D6,201.03838857017675
Single-family,F,Natural gas,Privately rented,D4,D6,282.0172039489592
Single-family,F,Natural gas,Privately rented,D5,D6,299.87614321635925
Single-family,F,Natural gas,Privately rented,D6,D6,350.15761777196803
Single-family,F,Natural gas,Privately rented,D7,D6,438.17307983782507
Single-family,F,Natural gas,Privately rented,D8,D6,553.0669016076275
Single-family,F,Natural gas,Privately rented,D9,D6,772.5034711017234
Multi-family,F,Natural gas,Privately rented,D1,D7,255.75524866015454
Multi-family,F,Natural gas,Privately rented,D10,D7,4287.917584255656
Multi-family,F,Natural gas,Privately rented,D2,D7,180.95437251393415
Multi-family,F,Natural gas,Privately rented,D3,D7,244.92131533349354
Multi-family,F,Natural gas,Privately rented,D4,D7,309.96598343203163
Multi-family,F,Natural gas,Privately rented,D5,D7,472.31562248436694
Multi-family,F,Natural gas,Privately rented,D6,D7,642.011939449809
Multi-family,F,Natural gas,Privately rented,D7,D7,911.4768032102866
Multi-family,F,Natural gas,Privately rented,D8,D7,1178.8783673164164
Multi-family,F,Natural gas,Privately rented,D9,D7,2081.7228933438523
Single-family,F,Natural gas,Privately rented,D1,D7,142.45057727342007
Single-family,F,Natural gas,Privately rented,D10,D7,1208.6651881355863
Single-family,F,Natural gas,Privately rented,D2,D7,123.99673615837185
Single-family,F,Natural gas,Privately rented,D3,D7,157.0905087687074
Single-family,F,Natural gas,Privately rented,D4,D7,210.65067130144678
Single-family,F,Natural gas,Privately rented,D5,D7,302.11961069552046
Single-family,F,Natural gas,Privately rented,D6,D7,367.4592024257266
Single-family,F,Natural gas,Privately rented,D7,D7,434.4073675462505
Single-family,F,Natural gas,Privately rented,D8,D7,525.1685129021691
Single-family,F,Natural gas,Privately rented,D9,D7,742.8930197928004
Multi-family,F,Natural gas,Privately rented,D1,D8,361.8464715596665
Multi-family,F,Natural gas,Privately rented,D10,D8,4759.8796643851665
Multi-family,F,Natural gas,Privately rented,D2,D8,167.25271344963576
Multi-family,F,Natural gas,Privately rented,D3,D8,231.23794202832212
Multi-family,F,Natural gas,Privately rented,D4,D8,286.93276544139655
Multi-family,F,Natural gas,Privately rented,D5,D8,306.72495417786257
Multi-family,F,Natural gas,Privately rented,D6,D8,472.7367725259024
Multi-family,F,Natural gas,Privately rented,D7,D8,789.454108433551
Multi-family,F,Natural gas,Privately rented,D8,D8,1197.709026074266
Multi-family,F,Natural gas,Privately rented,D9,D8,1989.2604019242312
Single-family,F,Natural gas,Privately rented,D1,D8,86.63241730559561
Single-family,F,Natural gas,Privately rented,D10,D8,1095.0261803139754
Single-family,F,Natural gas,Privately rented,D2,D8,108.12802651490928
Single-family,F,Natural gas,Privately rented,D3,D8,150.48843080543028
Single-family,F,Natural gas,Privately rented,D4,D8,159.8746928694694
Single-family,F,Natural gas,Privately rented,D5,D8,222.00559230791282
Single-family,F,Natural gas,Privately rented,D6,D8,302.87033037831674
Single-family,F,Natural gas,Privately rented,D7,D8,402.4949156650239
Single-family,F,Natural gas,Privately rented,D8,D8,521.7344773626113
Single-family,F,Natural gas,Privately rented,D9,D8,674.3765114767554
Multi-family,F,Natural gas,Privately rented,D1,D9,326.54478161440323
Multi-family,F,Natural gas,Privately rented,D10,D9,5316.262931111705
Multi-family,F,Natural gas,Privately rented,D2,D9,184.63695732996086
Multi-family,F,Natural gas,Privately rented,D3,D9,232.32646128980272
Multi-family,F,Natural gas,Privately rented,D4,D9,207.39704016606774
Multi-family,F,Natural gas,Privately rented,D5,D9,293.62879483693825
Multi-family,F,Natural gas,Privately rented,D6,D9,481.0778329209419
Multi-family,F,Natural gas,Privately rented,D7,D9,700.2060797226301
Multi-family,F,Natural gas,Privately rented,D8,D9,1062.147129225748
Multi-family,F,Natural gas,Privately rented,D9,D9,1947.1603517818016
Single-family,F,Natural gas,Privately rented,D1,D9,90.72382585208038
Single-family,F,Natural gas,Privately rented,D10,D9,1094.3952643710168
Single-family,F,Natural gas,Privately rented,D2,D9,103.2462207657067
Single-family,F,Natural gas,Privately rented,D3,D9,127.77135523183195
Single-family,F,Natural gas,Privately rented,D4,D9,111.36432643572009
Single-family,F,Natural gas,Privately rented,D5,D9,144.67612840249922
Single-family,F,Natural gas,Privately rented,D6,D9,239.90285773416662
Single-family,F,Natural gas,Privately rented,D7,D9,300.9711569150282
Single-family,F,Natural gas,Privately rented,D8,D9,409.6419112757938
Single-family,F,Natural gas,Privately rented,D9,D9,632.7761580161563
Multi-family,F,Natural gas,Privately rented,D1,D10,550.281572172486
Multi-family,F,Natural gas,Privately rented,D10,D10,8826.287007838628
Multi-family,F,Natural gas,Privately rented,D2,D10,276.24509750831953
Multi-family,F,Natural gas,Privately rented,D3,D10,219.38719273248944
Multi-family,F,Natural gas,Privately rented,D4,D10,282.0242870089421
Multi-family,F,Natural gas,Privately rented,D5,D10,441.32906569851525
Multi-family,F,Natural gas,Privately rented,D6,D10,598.3678766447212
Multi-family,F,Natural gas,Privately rented,D7,D10,837.6772405684954
Multi-family,F,Natural gas,Privately rented,D8,D10,1302.79095644457
Multi-family,F,Natural gas,Privately rented,D9,D10,2407.3872433828324
Single-family,F,Natural gas,Privately rented,D1,D10,101.80540875824245
Single-family,F,Natural gas,Privately rented,D10,D10,1260.9847524525715
Single-family,F,Natural gas,Privately rented,D2,D10,67.98791997088576
Single-family,F,Natural gas,Privately rented,D3,D10,72.79935815589592
Single-family,F,Natural gas,Privately rented,D4,D10,83.3883814390062
Single-family,F,Natural gas,Privately rented,D5,D10,93.93259417219099
Single-family,F,Natural gas,Privately rented,D6,D10,116.65072258752706
Single-family,F,Natural gas,Privately rented,D7,D10,158.8593029940019
Single-family,F,Natural gas,Privately rented,D8,D10,289.7091344549544
Single-family,F,Natural gas,Privately rented,D9,D10,504.13263601472414
Multi-family,G,Electricity,Privately rented,D1,D1,6786.291918164274
Multi-family,G,Electricity,Privately rented,D10,D1,42992.06215976481
Multi-family,G,Electricity,Privately rented,D2,D1,5766.384730860317
Multi-family,G,Electricity,Privately rented,D3,D1,6128.657121868004
Multi-family,G,Electricity,Privately rented,D4,D1,6015.098066021997
Multi-family,G,Electricity,Privately rented,D5,D1,7577.0011270468585
Multi-family,G,Electricity,Privately rented,D6,D1,8822.98715209273
Multi-family,G,Electricity,Privately rented,D7,D1,12005.553942539245
Multi-family,G,Electricity,Privately rented,D8,D1,15720.051043150137
Multi-family,G,Electricity,Privately rented,D9,D1,23975.641838491625
Single-family,G,Electricity,Privately rented,D1,D1,1341.7041883557486
Single-family,G,Electricity,Privately rented,D10,D1,3947.779743733031
Single-family,G,Electricity,Privately rented,D2,D1,1057.134270426119
Single-family,G,Electricity,Privately rented,D3,D1,1333.741513036063
Single-family,G,Electricity,Privately rented,D4,D1,1153.9702960824816
Single-family,G,Electricity,Privately rented,D5,D1,1306.3496344848625
Single-family,G,Electricity,Privately rented,D6,D1,1515.2057373711675
Single-family,G,Electricity,Privately rented,D7,D1,1539.1386867333104
Single-family,G,Electricity,Privately rented,D8,D1,2038.8588182331275
Single-family,G,Electricity,Privately rented,D9,D1,2355.61200154409
Multi-family,G,Electricity,Privately rented,D1,D2,2352.676227348609
Multi-family,G,Electricity,Privately rented,D10,D2,14819.164195917152
Multi-family,G,Electricity,Privately rented,D2,D2,1868.0460924995687
Multi-family,G,Electricity,Privately rented,D3,D2,1871.38047611173
Multi-family,G,Electricity,Privately rented,D4,D2,1528.7224752831298
Multi-family,G,Electricity,Privately rented,D5,D2,2463.168117812209
Multi-family,G,Electricity,Privately rented,D6,D2,2986.914201252589
Multi-family,G,Electricity,Privately rented,D7,D2,3680.5277093551194
Multi-family,G,Electricity,Privately rented,D8,D2,5522.924491475134
Multi-family,G,Electricity,Privately rented,D9,D2,8295.988382944752
Single-family,G,Electricity,Privately rented,D1,D2,1004.6255966820394
Single-family,G,Electricity,Privately rented,D10,D2,3407.3323243649993
Single-family,G,Electricity,Privately rented,D2,D2,922.9414107023739
Single-family,G,Electricity,Privately rented,D3,D2,702.3905990332777
Single-family,G,Electricity,Privately rented,D4,D2,989.6720089179438
Single-family,G,Electricity,Privately rented,D5,D2,1130.1318200349262
Single-family,G,Electricity,Privately rented,D6,D2,1230.959404779859
Single-family,G,Electricity,Privately rented,D7,D2,1520.2735520256172
Single-family,G,Electricity,Privately rented,D8,D2,1875.7880383768006
Single-family,G,Electricity,Privately rented,D9,D2,2525.7700150821647
Multi-family,G,Electricity,Privately rented,D1,D3,1444.1711165809488
Multi-family,G,Electricity,Privately rented,D10,D3,12179.071029361485
Multi-family,G,Electricity,Privately rented,D2,D3,1119.740502093507
Multi-family,G,Electricity,Privately rented,D3,D3,1350.5514077550786
Multi-family,G,Electricity,Privately rented,D4,D3,1503.3935251187877
Multi-family,G,Electricity,Privately rented,D5,D3,1716.676683136997
Multi-family,G,Electricity,Privately rented,D6,D3,2307.9283616320245
Multi-family,G,Electricity,Privately rented,D7,D3,3303.2796953159623
Multi-family,G,Electricity,Privately rented,D8,D3,3994.5679535591808
Multi-family,G,Electricity,Privately rented,D9,D3,6947.59071544603
Single-family,G,Electricity,Privately rented,D1,D3,730.6777865441534
Single-family,G,Electricity,Privately rented,D10,D3,4055.066690314278
Single-family,G,Electricity,Privately rented,D2,D3,910.0517243281017
Single-family,G,Electricity,Privately rented,D3,D3,1045.643917064148
Single-family,G,Electricity,Privately rented,D4,D3,773.7116543503922
Single-family,G,Electricity,Privately rented,D5,D3,1065.4259177285462
Single-family,G,Electricity,Privately rented,D6,D3,1126.5472516206614
Single-family,G,Electricity,Privately rented,D7,D3,1662.5749907361749
Single-family,G,Electricity,Privately rented,D8,D3,1997.0100835346516
Single-family,G,Electricity,Privately rented,D9,D3,2506.742193778893
Multi-family,G,Electricity,Privately rented,D1,D4,1246.0700037203562
Multi-family,G,Electricity,Privately rented,D10,D4,11421.62409169479
Multi-family,G,Electricity,Privately rented,D2,D4,999.5178707889795
Multi-family,G,Electricity,Privately rented,D3,D4,1060.378852473815
Multi-family,G,Electricity,Privately rented,D4,D4,1328.3641417738986
Multi-family,G,Electricity,Privately rented,D5,D4,1582.2607980431064
Multi-family,G,Electricity,Privately rented,D6,D4,1918.7602091484262
Multi-family,G,Electricity,Privately rented,D7,D4,2678.9616401453654
Multi-family,G,Electricity,Privately rented,D8,D4,3935.013837556135
Multi-family,G,Electricity,Privately rented,D9,D4,5848.878584655127
Single-family,G,Electricity,Privately rented,D1,D4,550.7239024578146
Single-family,G,Electricity,Privately rented,D10,D4,3589.6277227732207
Single-family,G,Electricity,Privately rented,D2,D4,695.3014666005979
Single-family,G,Electricity,Privately rented,D3,D4,981.8601688133671
Single-family,G,Electricity,Privately rented,D4,D4,877.8671105770978
Single-family,G,Electricity,Privately rented,D5,D4,881.7162119566588
Single-family,G,Electricity,Privately rented,D6,D4,1218.9706535351506
Single-family,G,Electricity,Privately rented,D7,D4,1360.555393215176
Single-family,G,Electricity,Privately rented,D8,D4,1747.6101685878793
Single-family,G,Electricity,Privately rented,D9,D4,2418.9082514830384
Multi-family,G,Electricity,Privately rented,D1,D5,968.9951898763
Multi-family,G,Electricity,Privately rented,D10,D5,10605.998861570342
Multi-family,G,Electricity,Privately rented,D2,D5,894.7791199353768
Multi-family,G,Electricity,Privately rented,D3,D5,735.719666961816
Multi-family,G,Electricity,Privately rented,D4,D5,1218.2485814452737
Multi-family,G,Electricity,Privately rented,D5,D5,1736.6790485430677
Multi-family,G,Electricity,Privately rented,D6,D5,1627.2394044233129
Multi-family,G,Electricity,Privately rented,D7,D5,2472.1720914434054
Multi-family,G,Electricity,Privately rented,D8,D5,3542.824997972182
Multi-family,G,Electricity,Privately rented,D9,D5,5567.374537828922
Single-family,G,Electricity,Privately rented,D1,D5,504.66109865870243
Single-family,G,Electricity,Privately rented,D10,D5,3228.8723593348286
Single-family,G,Electricity,Privately rented,D2,D5,461.9681548008875
Single-family,G,Electricity,Privately rented,D3,D5,705.0385703618285
Single-family,G,Electricity,Privately rented,D4,D5,874.612983165225
Single-family,G,Electricity,Privately rented,D5,D5,1147.170266193632
Single-family,G,Electricity,Privately rented,D6,D5,1099.19552139005
Single-family,G,Electricity,Privately rented,D7,D5,1219.9633891522933
Single-family,G,Electricity,Privately rented,D8,D5,1670.7022101048624
Single-family,G,Electricity,Privately rented,D9,D5,2157.5284168376897
Multi-family,G,Electricity,Privately rented,D1,D6,1027.3443042238025
Multi-family,G,Electricity,Privately rented,D10,D6,11280.805635422083
Multi-family,G,Electricity,Privately rented,D2,D6,621.8014622516066
Multi-family,G,Electricity,Privately rented,D3,D6,730.5073386105239
Multi-family,G,Electricity,Privately rented,D4,D6,1011.2030097646535
Multi-family,G,Electricity,Privately rented,D5,D6,1487.335445556147
Multi-family,G,Electricity,Privately rented,D6,D6,1876.7665316239807
Multi-family,G,Electricity,Privately rented,D7,D6,2394.4207123940932
Multi-family,G,Electricity,Privately rented,D8,D6,3434.6018679860827
Multi-family,G,Electricity,Privately rented,D9,D6,5741.076992167026
Single-family,G,Electricity,Privately rented,D1,D6,371.5618581326486
Single-family,G,Electricity,Privately rented,D10,D6,3015.1347428508448
Single-family,G,Electricity,Privately rented,D2,D6,412.9747160749822
Single-family,G,Electricity,Privately rented,D3,D6,539.3019458599556
Single-family,G,Electricity,Privately rented,D4,D6,756.5342516788356
Single-family,G,Electricity,Privately rented,D5,D6,804.4423192195859
Single-family,G,Electricity,Privately rented,D6,D6,939.326493637259
Single-family,G,Electricity,Privately rented,D7,D6,1175.4351806172606
Single-family,G,Electricity,Privately rented,D8,D6,1483.6472693055464
Single-family,G,Electricity,Privately rented,D9,D6,2072.3038426230814
Multi-family,G,Electricity,Privately rented,D1,D7,776.7700808037064
Multi-family,G,Electricity,Privately rented,D10,D7,13023.099646442606
Multi-family,G,Electricity,Privately rented,D2,D7,549.5877144097539
Multi-family,G,Electricity,Privately rented,D3,D7,743.8656719610365
Multi-family,G,Electricity,Privately rented,D4,D7,941.4168556002375
Multi-family,G,Electricity,Privately rented,D5,D7,1434.4989835557296
Multi-family,G,Electricity,Privately rented,D6,D7,1949.89416129651
Multi-family,G,Electricity,Privately rented,D7,D7,2768.3025618807665
Multi-family,G,Electricity,Privately rented,D8,D7,3580.4443874968606
Multi-family,G,Electricity,Privately rented,D9,D7,6322.529326552795
Single-family,G,Electricity,Privately rented,D1,D7,366.7378367000952
Single-family,G,Electricity,Privately rented,D10,D7,3111.6985615351887
Single-family,G,Electricity,Privately rented,D2,D7,319.2285748994212
Single-family,G,Electricity,Privately rented,D3,D7,404.4282196299864
Single-family,G,Electricity,Privately rented,D4,D7,542.3184164725052
Single-family,G,Electricity,Privately rented,D5,D7,777.8044467905719
Single-family,G,Electricity,Privately rented,D6,D7,946.0206869817894
Single-family,G,Electricity,Privately rented,D7,D7,1118.3781861038583
Single-family,G,Electricity,Privately rented,D8,D7,1352.0420065063838
Single-family,G,Electricity,Privately rented,D9,D7,1912.5719543801993
Multi-family,G,Electricity,Privately rented,D1,D8,1054.8254865955807
Multi-family,G,Electricity,Privately rented,D10,D8,13875.615151033973
Multi-family,G,Electricity,Privately rented,D2,D8,487.56154533857926
Multi-family,G,Electricity,Privately rented,D3,D8,674.0860942156934
Multi-family,G,Electricity,Privately rented,D4,D8,836.4431263413027
Multi-family,G,Electricity,Privately rented,D5,D8,894.139709714762
Multi-family,G,Electricity,Privately rented,D6,D8,1378.0838982950643
Multi-family,G,Electricity,Privately rented,D7,D8,2301.352588803639
Multi-family,G,Electricity,Privately rented,D8,D8,3491.4642134913925
Multi-family,G,Electricity,Privately rented,D9,D8,5798.930586170012
Single-family,G,Electricity,Privately rented,D1,D8,221.67472019955125
Single-family,G,Electricity,Privately rented,D10,D8,2801.9490819010684
Single-family,G,Electricity,Privately rented,D2,D8,276.6776083238069
Single-family,G,Electricity,Privately rented,D3,D8,385.0692596327748
Single-family,G,Electricity,Privately rented,D4,D8,409.08679350148685
Single-family,G,Electricity,Privately rented,D5,D8,568.0671172315717
Single-family,G,Electricity,Privately rented,D6,D8,774.9835203896879
Single-family,G,Electricity,Privately rented,D7,D8,1029.9025536486238
Single-family,G,Electricity,Privately rented,D8,D8,1335.012318539399
Single-family,G,Electricity,Privately rented,D9,D8,1725.5922106320293
Multi-family,G,Electricity,Privately rented,D1,D9,953.8097903799081
Multi-family,G,Electricity,Privately rented,D10,D9,15528.356040047873
Multi-family,G,Electricity,Privately rented,D2,D9,539.3089936902737
Multi-family,G,Electricity,Privately rented,D3,D9,678.6060161396205
Multi-family,G,Electricity,Privately rented,D4,D9,605.7892777469059
Multi-family,G,Electricity,Privately rented,D5,D9,857.664966710869
Multi-family,G,Electricity,Privately rented,D6,D9,1405.1878113201024
Multi-family,G,Electricity,Privately rented,D7,D9,2045.242955104449
Multi-family,G,Electricity,Privately rented,D8,D9,3102.4422612752805
Multi-family,G,Electricity,Privately rented,D9,D9,5687.491307584718
Single-family,G,Electricity,Privately rented,D1,D9,224.39031738599613
Single-family,G,Electricity,Privately rented,D10,D9,2706.8049480004643
Single-family,G,Electricity,Privately rented,D2,D9,255.36238169998094
Single-family,G,Electricity,Privately rented,D3,D9,316.021229087664
Single-family,G,Electricity,Privately rented,D4,D9,275.4411679588123
Single-family,G,Electricity,Privately rented,D5,D9,357.8323782701179
Single-family,G,Electricity,Privately rented,D6,D9,593.3598796477861
Single-family,G,Electricity,Privately rented,D7,D9,744.4021764944669
Single-family,G,Electricity,Privately rented,D8,D9,1013.1812412281953
Single-family,G,Electricity,Privately rented,D9,D9,1565.0667462265162
Multi-family,G,Electricity,Privately rented,D1,D10,1696.9475809642086
Multi-family,G,Electricity,Privately rented,D10,D10,27218.33174917368
Multi-family,G,Electricity,Privately rented,D2,D10,851.8792445098045
Multi-family,G,Electricity,Privately rented,D3,D10,676.5419465750028
Multi-family,G,Electricity,Privately rented,D4,D10,869.7009963891154
Multi-family,G,Electricity,Privately rented,D5,D10,1360.9619662341572
Multi-family,G,Electricity,Privately rented,D6,D10,1845.235188941912
Multi-family,G,Electricity,Privately rented,D7,D10,2583.2127385249123
Multi-family,G,Electricity,Privately rented,D8,D10,4017.52134514091
Multi-family,G,Electricity,Privately rented,D9,D10,7423.8538335462945
Single-family,G,Electricity,Privately rented,D1,D10,193.1007087689589
Single-family,G,Electricity,Privately rented,D10,D10,2391.7889276754904
Single-family,G,Electricity,Privately rented,D2,D10,128.95695517790818
Single-family,G,Electricity,Privately rented,D3,D10,138.08311198093043
Single-family,G,Electricity,Privately rented,D4,D10,158.1679770787689
Single-family,G,Electricity,Privately rented,D5,D10,178.1678471939588
Single-family,G,Electricity,Privately rented,D6,D10,221.25874729852168
Single-family,G,Electricity,Privately rented,D7,D10,301.31841104366623
Single-family,G,Electricity,Privately rented,D8,D10,549.5094993718985
Single-family,G,Electricity,Privately rented,D9,D10,956.2200134098986
Multi-family,G,Natural gas,Privately rented,D1,D1,399.06220928841896
Multi-family,G,Natural gas,Privately rented,D10,D1,2528.112187661639
Multi-family,G,Natural gas,Privately rented,D2,D1,339.08742182823676
Multi-family,G,Natural gas,Privately rented,D3,D1,360.39054619469226
Multi-family,G,Natural gas,Privately rented,D4,D1,353.7128010789365
Multi-family,G,Natural gas,Privately rented,D5,D1,445.5592016970122
Multi-family,G,Natural gas,Privately rented,D6,D1,518.828365754989
Multi-family,G,Natural gas,Privately rented,D7,D1,705.9765388543702
Multi-family,G,Natural gas,Privately rented,D8,D1,924.4044280817147
Multi-family,G,Natural gas,Privately rented,D9,D1,1409.8675265599907
Single-family,G,Natural gas,Privately rented,D1,D1,51.964210645351315
Single-family,G,Natural gas,Privately rented,D10,D1,152.89753133751208
Single-family,G,Natural gas,Privately rented,D2,D1,40.94281614799378
Single-family,G,Natural gas,Privately rented,D3,D1,51.65581618612275
Single-family,G,Natural gas,Privately rented,D4,D1,44.693275957940834
Single-family,G,Natural gas,Privately rented,D5,D1,50.59492857813903
Single-family,G,Natural gas,Privately rented,D6,D1,58.68392659956689
Single-family,G,Natural gas,Privately rented,D7,D1,59.61084986090292
Single-family,G,Natural gas,Privately rented,D8,D1,78.96501332133175
Single-family,G,Natural gas,Privately rented,D9,D1,91.23286586513866
Multi-family,G,Natural gas,Privately rented,D1,D2,212.82385792973298
Multi-family,G,Natural gas,Privately rented,D10,D2,1340.5464206282097
Multi-family,G,Natural gas,Privately rented,D2,D2,168.98405805900623
Multi-family,G,Natural gas,Privately rented,D3,D2,169.28568748676545
Multi-family,G,Natural gas,Privately rented,D4,D2,138.28873310812685
Multi-family,G,Natural gas,Privately rented,D5,D2,222.81899033471922
Multi-family,G,Natural gas,Privately rented,D6,D2,270.19723165736303
Multi-family,G,Natural gas,Privately rented,D7,D2,332.9417355506662
Multi-family,G,Natural gas,Privately rented,D8,D2,499.6055486372626
Multi-family,G,Natural gas,Privately rented,D9,D2,750.4578116081473
Single-family,G,Natural gas,Privately rented,D1,D2,51.80534467652619
Single-family,G,Natural gas,Privately rented,D10,D2,175.70528371383443
Single-family,G,Natural gas,Privately rented,D2,D2,47.593151175510556
Single-family,G,Natural gas,Privately rented,D3,D2,36.22004774778519
Single-family,G,Natural gas,Privately rented,D4,D2,51.034235747161695
Single-family,G,Natural gas,Privately rented,D5,D2,58.277301175861936
Single-family,G,Natural gas,Privately rented,D6,D2,63.47665882498432
Single-family,G,Natural gas,Privately rented,D7,D2,78.39566862063599
Single-family,G,Natural gas,Privately rented,D8,D2,96.7284192132434
Single-family,G,Natural gas,Privately rented,D9,D2,130.24592110445636
Multi-family,G,Natural gas,Privately rented,D1,D3,127.23657806108712
Multi-family,G,Natural gas,Privately rented,D10,D3,1073.0191900026257
Multi-family,G,Natural gas,Privately rented,D2,D3,98.65309461394115
Multi-family,G,Natural gas,Privately rented,D3,D3,118.98835092697838
Multi-family,G,Natural gas,Privately rented,D4,D3,132.45428150382727
Multi-family,G,Natural gas,Privately rented,D5,D3,151.2452813186875
Multi-family,G,Natural gas,Privately rented,D6,D3,203.33664326385946
Multi-family,G,Natural gas,Privately rented,D7,D3,291.0306126366258
Multi-family,G,Natural gas,Privately rented,D8,D3,351.93555071689525
Multi-family,G,Natural gas,Privately rented,D9,D3,612.1072899554722
Single-family,G,Natural gas,Privately rented,D1,D3,35.99025498437723
Single-family,G,Natural gas,Privately rented,D10,D3,199.73630901429695
Single-family,G,Natural gas,Privately rented,D2,D3,44.82549519186917
Single-family,G,Natural gas,Privately rented,D3,D3,51.50422236864812
Single-family,G,Natural gas,Privately rented,D4,D3,38.10993058398152
Single-family,G,Natural gas,Privately rented,D5,D3,52.47860432075335
Single-family,G,Natural gas,Privately rented,D6,D3,55.48919590061596
Single-family,G,Natural gas,Privately rented,D7,D3,81.89177083136596
Single-family,G,Natural gas,Privately rented,D8,D3,98.36470115331944
Single-family,G,Natural gas,Privately rented,D9,D3,123.4720589507723
Multi-family,G,Natural gas,Privately rented,D1,D4,107.81673627131354
Multi-family,G,Natural gas,Privately rented,D10,D4,988.2608752378726
Multi-family,G,Natural gas,Privately rented,D2,D4,86.48370826002557
Multi-family,G,Natural gas,Privately rented,D3,D4,91.7497305476464
Multi-family,G,Natural gas,Privately rented,D4,D4,114.93727151628609
Multi-family,G,Natural gas,Privately rented,D5,D4,136.90578752856052
Multi-family,G,Natural gas,Privately rented,D6,D4,166.02154198398728
Multi-family,G,Natural gas,Privately rented,D7,D4,231.79829365456695
Multi-family,G,Natural gas,Privately rented,D8,D4,340.47874347432895
Multi-family,G,Natural gas,Privately rented,D9,D4,506.07670352541186
Single-family,G,Natural gas,Privately rented,D1,D4,31.813429724472662
Single-family,G,Natural gas,Privately rented,D10,D4,207.36047370708096
Single-family,G,Natural gas,Privately rented,D2,D4,40.16517940532875
Single-family,G,Natural gas,Privately rented,D3,D4,56.718692143919824
Single-family,G,Natural gas,Privately rented,D4,D4,50.711370080599785
Single-family,G,Natural gas,Privately rented,D5,D4,50.9337194569289
Single-family,G,Natural gas,Privately rented,D6,D4,70.41575106757881
Single-family,G,Natural gas,Privately rented,D7,D4,78.59461555079102
Single-family,G,Natural gas,Privately rented,D8,D4,100.95344152672413
Single-family,G,Natural gas,Privately rented,D9,D4,139.7320278365752
Multi-family,G,Natural gas,Privately rented,D1,D5,91.79534467477423
Multi-family,G,Natural gas,Privately rented,D10,D5,1004.7328730727736
Multi-family,G,Natural gas,Privately rented,D2,D5,84.7646702278723
Multi-family,G,Natural gas,Privately rented,D3,D5,69.69656931051584
Multi-family,G,Natural gas,Privately rented,D4,D5,115.40774361078057
Multi-family,G,Natural gas,Privately rented,D5,D5,164.51996203492092
Multi-family,G,Natural gas,Privately rented,D6,D5,154.1524700617771
Multi-family,G,Natural gas,Privately rented,D7,D5,234.19506267969692
Multi-family,G,Natural gas,Privately rented,D8,D5,335.62069782077975
Multi-family,G,Natural gas,Privately rented,D9,D5,527.4113535061084
Single-family,G,Natural gas,Privately rented,D1,D5,28.46631613629878
Single-family,G,Natural gas,Privately rented,D10,D5,182.13034765087525
Single-family,G,Natural gas,Privately rented,D2,D5,26.05814391958564
Single-family,G,Natural gas,Privately rented,D3,D5,39.76896750224252
Single-family,G,Natural gas,Privately rented,D4,D5,49.33411697843243
Single-family,G,Natural gas,Privately rented,D5,D5,64.70820030793517
Single-family,G,Natural gas,Privately rented,D6,D5,62.00209861757959
Single-family,G,Natural gas,Privately rented,D7,D5,68.81422721628441
Single-family,G,Natural gas,Privately rented,D8,D5,94.23896038125498
Single-family,G,Natural gas,Privately rented,D9,D5,121.6992673895111
Multi-family,G,Natural gas,Privately rented,D1,D6,90.61580373876136
Multi-family,G,Natural gas,Privately rented,D10,D6,995.0113757109365
Multi-family,G,Natural gas,Privately rented,D2,D6,54.845331829076734
Multi-family,G,Natural gas,Privately rented,D3,D6,64.43361719445102
Multi-family,G,Natural gas,Privately rented,D4,D6,89.19207815349625
Multi-family,G,Natural gas,Privately rented,D5,D6,131.18882956191345
Multi-family,G,Natural gas,Privately rented,D6,D6,165.53818130291268
Multi-family,G,Natural gas,Privately rented,D7,D6,211.19731374406086
Multi-family,G,Natural gas,Privately rented,D8,D6,302.94537820536755
Multi-family,G,Natural gas,Privately rented,D9,D6,506.38554555902346
Single-family,G,Natural gas,Privately rented,D1,D6,21.353173455894158
Single-family,G,Natural gas,Privately rented,D10,D6,173.27584559016313
Single-family,G,Natural gas,Privately rented,D2,D6,23.73311617496426
Single-family,G,Natural gas,Privately rented,D3,D6,30.99297665514876
Single-family,G,Natural gas,Privately rented,D4,D6,43.477032821964464
Single-family,G,Natural gas,Privately rented,D5,D6,46.23024673169015
Single-family,G,Natural gas,Privately rented,D6,D6,53.98186361527085
Single-family,G,Natural gas,Privately rented,D7,D6,67.55072069028178
Single-family,G,Natural gas,Privately rented,D8,D6,85.26326584774209
Single-family,G,Natural gas,Privately rented,D9,D6,119.09258831688042
Multi-family,G,Natural gas,Privately rented,D1,D7,65.23282612036448
Multi-family,G,Natural gas,Privately rented,D10,D7,1093.6744550016363
Multi-family,G,Natural gas,Privately rented,D2,D7,46.154146121186365
Multi-family,G,Natural gas,Privately rented,D3,D7,62.46952764418425
Multi-family,G,Natural gas,Privately rented,D4,D7,79.05979332341134
Multi-family,G,Natural gas,Privately rented,D5,D7,120.46862395537825
Multi-family,G,Natural gas,Privately rented,D6,D7,163.75129516492345
Multi-family,G,Natural gas,Privately rented,D7,D7,232.48088994478414
Multi-family,G,Natural gas,Privately rented,D8,D7,300.6842203828908
Multi-family,G,Natural gas,Privately rented,D9,D7,530.9633653412409
Single-family,G,Natural gas,Privately rented,D1,D7,22.726299107912922
Single-family,G,Natural gas,Privately rented,D10,D7,192.82818723976163
